Артикул;Наименование товара;Название ТР (ТС);ТК;Признак-категория;Доступное кол-во;Цена 1;Процент НДС;Скидка;Экономия в руб.;Цена со скидкой
1202373;Линейка 30см Attache Economy пластик цвет прозр ассорти (крас,син,зел,оран);ТР Письменные принадлежности;Линейки;D;10621;29,4;20;0,39;11,466;17,934
426890;Маркер перманентный Attache Selection Pegas черный, 2-5мм;ТР Письменные принадлежности;Маркеры;О;50880;59;20;0,2;11,8;47,2
1083390;Набор маркеров для белых досок Attache Accent 4 цвета, со скош након, 1-5мм;ТР Письменные принадлежности;Маркеры;О;3708;200;20;0,2;40;160
968800;Набор маркеров текстовыделителей ATTACHE набор 4цв. 1-3,9 мм;ТР Письменные принадлежности;Маркеры;О;-1752;104;20;0,7;72,8;31,2
435633;Ручка шариковая неавтоматическая Attache Economy синяя, 0,5мм;ТР Письменные принадлежности;Ручки;О;-134586;11,8;20;0,2;2,36;9,44
1241172;Ручка шариковая на подставке на липучке Attache син.стержень, красн корпус;ТР Письменные принадлежности;Ручки;О;6443;90,2;20;0,2;18,04;72,16
901707;Ручка гелевая неавтоматическая Attache черный стерж., 0,5мм, без манж;ТР Письменные принадлежности;Ручки;П;-14478;17,3;20;0,2;3,46;13,84
901708;Ручка гелевая неавтоматическая Attache синий стерж., 0,5мм, без манж;ТР Письменные принадлежности;Ручки;П;-3094;21,4;20;0,2;4,28;17,12
737054;Ручка шариковая неавтоматическая Attache Economy Elementary 0,5мм красн ст;ТР Письменные принадлежности;Ручки;П;-199;22,2;20;0,2;4,44;17,76
743536;Точилка для карандашей 401005 цв.ассортименте, 3 шт.в уп.;ТР Письменные принадлежности;Точилки;D;7537;33,6;20;0,2;6,72;26,88
340222;Кисть №1School,коза,плоская,№4;ТР Товары для Учебы;Принадлежности для рисования;D;694;33,3;20;0;0;33,3
267194;Клейкая лента Двусторонняя Комус 48мм х 10м, полипропилен;ТР Упаковочные материалы;Клейкие ленты;О;-145;104;20;0,2;20,8;83,2
290671;Клейкая лента Упаковочная 48мм х 30м 38мкм прозрачная;ТР Упаковочные материалы;Клейкие ленты;О;1942;39;20;0,1;3,9;35,1
290671;Клейкая лента Упаковочная 48мм х 30м 38мкм прозрачная;ТР Упаковочные материалы;Клейкие ленты;О;1942;39;20;0,1;3,9;35,1
